"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"21","Crypturellus soui","Little Tinamou","Tinamidae (Tinamous)","LC"
"87","Pipile pipile","Trinidad Piping-guan","Cracidae (Guans, Chachalacas, Curassows)","CR"
"63","Ortalis ruficauda","Rufous-vented Chachalaca","Cracidae (Guans, Chachalacas, Curassows)","LC"
"343","Anhima cornuta","Horned Screamer","Anhimidae (Screamers)","LC"
"352","Dendrocygna viduata","White-faced Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"354","Dendrocygna autumnalis","Black-bellied Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"349","Dendrocygna bicolor","Fulvous Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"356","Nomonyx dominicus","Masked Duck","Anatidae (Ducks, Geese, Swans)","LC"
"409","Cairina moschata","Muscovy Duck","Anatidae (Ducks, Geese, Swans)","LC"
"471","Netta erythrophthalma","Southern Pochard","Anatidae (Ducks, Geese, Swans)","LC"
"475","Aythya collaris","Ring-necked Duck","Anatidae (Ducks, Geese, Swans)","LC"
"483","Aythya affinis","Lesser Scaup","Anatidae (Ducks, Geese, Swans)","LC"
"448","Spatula clypeata","Northern Shoveler","Anatidae (Ducks, Geese, Swans)","LC"
"443","Spatula discors","Blue-winged Teal","Anatidae (Ducks, Geese, Swans)","LC"
"430","Mareca americana","American Wigeon","Anatidae (Ducks, Geese, Swans)","LC"
"454","Anas bahamensis","White-cheeked Pintail","Anatidae (Ducks, Geese, Swans)","LC"
"30242","Anas carolinensis","Green-winged Teal","Anatidae (Ducks, Geese, Swans)","LC"
"3632","Tachybaptus dominicus","Least Grebe","Podicipedidae (Grebes)","LC"
"3633","Podilymbus podiceps","Pied-billed Grebe","Podicipedidae (Grebes)","LC"
"31025","Phoenicopterus ruber","American Flamingo","Phoenicopteridae (Flamingos)","LC"
"3648","Phaethon aethereus","Red-billed Tropicbird","Phaethontidae (Tropicbirds)","LC"
"3650","Phaethon lepturus","White-tailed Tropicbird","Phaethontidae (Tropicbirds)","LC"
"2476","Patagioenas speciosa","Scaled Pigeon","Columbidae (Pigeons, Doves)","LC"
"1016546","Patagioenas albilinea","Southern Band-tailed Pigeon","Columbidae (Pigeons, Doves)","LC"
"2484","Patagioenas cayennensis","Pale-vented Pigeon","Columbidae (Pigeons, Doves)","LC"
"2602","Geotrygon montana","Ruddy Quail-dove","Columbidae (Pigeons, Doves)","LC"
"2577","Leptotila verreauxi","White-tipped Dove","Columbidae (Pigeons, Doves)","LC"
